Set#, Object Name, Geometric, Near, Far, Reference
 1/2,   	 pink,         1,    0,   0,        NA
 1/2, 	   orange,		   1,	 0,	  0,		NA
 1/2,   	 blue,		   1,	 0,	  0,		NA
 1/2,  	    green,		   1,	 0,	  0,		NA
 1/2, 	   yellow,		   1,	 0,	  0,		NA
 1/2,    	  red,		   1,	 0,	  0,		NA
   1,   	 frog,		   0,	 0,	  1,    orange
   1, 	 elephant,		   0,	 1,	  0, 	orange
   2,      winnie,		   0,	 0,	  1,    orange
   2, 	      car,		   0,	 1,	  0, 	orange
   2,        pooh,		   0,	 0,	  1,	orange
   1, 	     boat,		   0,	 1,	  0,	  blue
   1,         car,		   0,	 0,	  1,	  blue
   2, 	    plane,		   0,	 1,	  0,	  blue
   2,         cow,		   0,	 0,	  1,	  blue
   2,    airplane,		   0,	 1,	  0,	  blue
   1, 		 lion,		   0,	 0,	  1,	   red
   1,      winnie,		   0,	 1,	  0,	   red
   1,        pooh,		   0,	 1,	  0,	   red
   2, 		 duck,		   0,	 0,	  1,	   red
   2,        book,		   0,	 1,	  0,	   red
   1, 		  cow,		   0,	 1,	  0,	  pink
   1,       plane,		   0,	 0,	  1,	  pink
   1,    airplane,		   0,	 0,	  1,	  pink
   2, 		 frog,		   0,	 1,	  0,	  pink
   2,       hippo,		   0,	 0,	  1,	  pink
   1,       hippo,		   0,	 1,	  0,	yellow
   1,        book,		   0,	 0,	  1,	yellow
   2,        lion,		   0,	 1,	  0,	yellow
   2,        boat,		   0,	 0,	  1,	yellow
   1,    dinosaur,		   0,	 0,	  1,	 green
   1,        duck,		   0,	 1,	  0,	 green
   1,      raptor,		   0,	 0,	  1,	 green
   2,    elephant,		   0,	 0,	  1,	 green
   2,    dinosaur,		   0,	 1,	  0,	 green
   2,      raptor,		   0,	 1,	  0,	 green
