Subject ID, avg(turns for ref), avg(turns for near), avg(turns for far), avg(turns)
3765,128.0,82.3333333333,106.0,110.357142857
3773,168.2,149.6,432.666666667,261.5625
3798,253.333333333,516.2,101.6,288.0625
3805,373.5,68.5,133.0,177.0
3809,370.0,85.1666666667,87.8,186.470588235
3818,160.0,503.2,108.666666667,277.333333333
3822,218.0,285.333333333,108.333333333,203.888888889
3823,115.333333333,362.8,115.8,192.8125
3829,190.0,184.166666667,165.666666667,179.944444444
3834,302.833333333,82.8,308.0,239.941176471
3835,217.8,211.333333333,236.5,222.117647059
3839,114.666666667,214.666666667,113.5,147.611111111
3848,193.666666667,134.833333333,128.333333333,152.277777778
3859,51.0,96.0,177.666666667,119.666666667
3864,121.8,111.0,121.4,118.571428571
3867,191.2,123.0,135.0,148.0625
3868,280.5,145.5,129.0,185.0
3870,120.333333333,134.166666667,127.0,127.166666667
3871,72.4,67.3333333333,161.4,98.3125
3872,104.166666667,109.166666667,308.666666667,174.0
3881,170.0,127.5,124.0,140.5
3883,93.3333333333,98.8333333333,110.333333333,100.833333333
3884,280.166666667,118.166666667,145.5,181.277777778
3894,128.0,215.0,477.8,261.588235294
3898,205.2,121.0,226.166666667,182.882352941
3899,148.5,156.833333333,116.25,143.5625
3918,93.1666666667,224.0,165.166666667,160.777777778
3920,96.1666666667,130.0,176.333333333,134.166666667
3927,255.833333333,163.0,159.0,192.611111111
3930,139.166666667,113.166666667,122.0,124.777777778
3934,101.6,530.666666667,346.5,339.470588235
3936,133.166666667,205.666666667,115.2,153.470588235
3939,128.833333333,188.166666667,205.166666667,174.055555556
3941,119.8,92.6666666667,184.833333333,133.176470588
3944,245.833333333,109.166666667,138.666666667,164.555555556
3947,44.5,342.8,175.2,223.25
3950,101.166666667,127.5,118.833333333,115.833333333
3952,145.666666667,174.5,173.5,164.555555556
3954,206.333333333,86.8333333333,263.2,180.882352941
3991,137.833333333,94.6666666667,186.333333333,139.611111111
3998,228.5,181.166666667,101.666666667,170.444444444
3999,289.333333333,220.5,339.2,279.705882353
